date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
1987-10-01,17.851035612903228,0.44538931935483883,0,1987,10,1.48,El Niño
1987-11-01,17.0171018,0.7167008672222221,0,1987,11,1.25,El Niño
1987-12-01,15.057452290322582,0.09628085376344105,0,1987,12,1.11,El Niño
1988-01-01,13.577894,-0.6244937591397848,0,1988,1,0.81,El Niño
1988-02-01,13.620913642857143,-0.39039684226190474,0,1988,2,0.54,El Niño
1988-03-01,13.833202387096774,-0.21722180430107518,0,1988,3,0.14,Neutral
1988-04-01,14.395986033333333,0.14295254666666662,0,1988,4,-0.31,Neutral
1988-05-01,14.661784370967741,-0.14441163978494637,0,1988,5,-0.88,La Niña
1988-06-01,15.488502966666665,-0.05451199166666664,0,1988,6,-1.3,La Niña
1988-07-01,16.426789870967742,-0.3213677838709677,0,1988,7,-1.3,La Niña
1988-08-01,17.79067490322581,0.1615171580645164,0,1988,8,-1.11,La Niña
1988-09-01,17.1801372,-0.679977311111111,0,1988,9,-1.19,La Niña
1988-10-01,17.028688161290322,-0.37695813225806474,0,1988,10,-1.48,La Niña
1988-11-01,15.942737099999999,-0.3576638327777782,0,1988,11,-1.8,La Niña
1988-12-01,14.43680664516129,-0.5243647913978494,0,1988,12,-1.85,La Niña
1989-01-01,13.042473580645161,-1.1599141784946234,0,1989,1,-1.69,La Niña
1989-02-01,12.769,-1.2423104851190474,0,1989,2,-1.43,La Niña
1989-03-01,13.38485827419355,-0.665565917204301,0,1989,3,-1.08,La Niña
1989-04-01,14.893532783333335,0.6404992966666668,11,1989,4,-0.83,La Niña
1989-05-01,15.246166725806452,0.4399707150537637,5,1989,5,-0.58,La Niña
1989-06-01,15.612031066666667,0.06901610833333323,0,1989,6,-0.4,Neutral
1989-07-01,16.74477574193548,-0.003381912903225637,0,1989,7,-0.31,Neutral
1989-08-01,17.211107,-0.4180507451612902,0,1989,8,-0.27,Neutral
1989-09-01,17.49315196666667,-0.3669625444444443,0,1989,9,-0.24,Neutral
1989-10-01,17.379235,-0.02641129354838707,0,1989,10,-0.22,Neutral
1989-11-01,16.621384266666666,0.32098333388888883,0,1989,11,-0.16,Neutral
1989-12-01,15.897956322580644,0.9367848860215054,14,1989,12,-0.05,Neutral
1990-01-01,14.56709706451613,0.36470930537634433,1,1990,1,0.14,Neutral
1990-02-01,13.469116267857144,-0.5421942172619046,0,1990,2,0.21,Neutral
1990-03-01,13.530514467741934,-0.5199097236559139,0,1990,3,0.28,Neutral
1990-04-01,14.461297333333334,0.20826384666666684,0,1990,4,0.29,Neutral
1990-05-01,14.792436161290322,-0.013759849462365584,0,1990,5,0.29,Neutral
1990-06-01,15.80352495,0.2605099916666666,0,1990,6,0.31,Neutral
1990-07-01,17.435668774193548,0.6875111193548388,7,1990,7,0.33,Neutral
1990-08-01,18.107737612903225,0.4785798677419355,0,1990,8,0.38,Neutral
1990-09-01,18.90067003333333,1.0405555222222225,15,1990,9,0.39,Neutral
1990-10-01,18.04997364516129,0.6443273516129036,0,1990,10,0.35,Neutral
1990-11-01,16.534862166666667,0.23446123388888862,0,1990,11,0.4,Neutral
1990-12-01,14.799600483870968,-0.1615709526881721,0,1990,12,0.41,Neutral
1991-01-01,13.89692385483871,-0.30546390430107495,0,1991,1,0.41,Neutral
1991-02-01,13.964972196428572,-0.046338288690476334,0,1991,2,0.26,Neutral
1991-03-01,13.784825596774192,-0.26559859462365587,0,1991,3,0.22,Neutral
1991-04-01,13.725144933333333,-0.5278885533333332,0,1991,4,0.26,Neutral
1991-05-01,13.744618693548388,-1.061577317204301,0,1991,5,0.45,Neutral
1991-06-01,14.31446305,-1.2285519083333332,0,1991,6,0.64,El Niño
1991-07-01,15.852341741935485,-0.8958159129032255,0,1991,7,0.73,El Niño
1991-08-01,17.082343709677417,-0.5468140354838714,0,1991,8,0.64,El Niño
1991-09-01,17.2437949,-0.6163196111111108,0,1991,9,0.62,El Niño
1991-10-01,17.266370032258063,-0.13927626129032253,0,1991,10,0.79,El Niño
1991-11-01,15.8032533,-0.4971476327777779,0,1991,11,1.21,El Niño
1991-12-01,14.179803032258064,-0.7813684043010752,0,1991,12,1.53,El Niño
1992-01-01,13.734492548387097,-0.467895210752688,0,1992,1,1.71,El Niño
1992-02-01,14.410902892857143,0.3995924077380952,5,1992,2,1.63,El Niño
1992-03-01,14.975958080645162,0.925533889247312,11,1992,3,1.48,El Niño
1992-04-01,15.555715883333333,1.302682396666667,29,1992,4,1.29,El Niño
1992-05-01,16.442623258064515,1.6364272473118284,30,1992,5,1.06,El Niño
1992-06-01,16.598760133333332,1.0557451750000004,15,1992,6,0.73,El Niño
1992-07-01,18.114681806451614,1.366524151612904,24,1992,7,0.37,Neutral
1992-08-01,18.142268806451614,0.5131110612903227,0,1992,8,0.09,Neutral
1992-09-01,18.343144066666664,0.4830295555555556,0,1992,9,-0.13,Neutral
1992-10-01,18.358102774193547,0.9524564806451613,18,1992,10,-0.25,Neutral
1992-11-01,17.402327833333334,1.1019269005555556,25,1992,11,-0.28,Neutral
1992-12-01,15.527279790322579,0.5661083537634409,6,1992,12,-0.13,Neutral
1993-01-01,14.321006048387098,0.11861828924731199,0,1993,1,0.09,Neutral
1993-02-01,14.413004875,0.4016943898809524,0,1993,2,0.3,Neutral
1993-03-01,14.626505306451614,0.5760811150537636,0,1993,3,0.5,El Niño
1993-04-01,14.913988866666667,0.6609553800000002,0,1993,4,0.67,El Niño
1993-05-01,15.821667870967742,1.015471860215054,12,1993,5,0.7,El Niño
1993-06-01,16.89405633333333,1.351041375,25,1993,6,0.57,El Niño
1993-07-01,17.108653903225807,0.36049624838709704,0,1993,7,0.32,Neutral
1993-08-01,17.587360032258065,-0.04179771290322611,0,1993,8,0.25,Neutral
1993-09-01,17.42411226666667,-0.4360022444444444,0,1993,9,0.15,Neutral
1993-10-01,17.700291548387096,0.29464525483870974,0,1993,10,0.1,Neutral
1993-11-01,16.829544333333335,0.5291434005555554,0,1993,11,0.04,Neutral
1993-12-01,15.440486629032257,0.47931519247311816,0,1993,12,0.06,Neutral
1994-01-01,14.785154516129031,0.5827667569892475,0,1994,1,0.06,Neutral
1994-02-01,14.388799982142856,0.3774894970238097,0,1994,2,0.07,Neutral
1994-03-01,14.66515264516129,0.6147284537634409,0,1994,3,0.17,Neutral
1994-04-01,14.63224885,0.3792153633333334,0,1994,4,0.31,Neutral
1994-05-01,14.867464516129031,0.06126850537634409,0,1994,5,0.42,Neutral
1994-06-01,15.406339066666668,-0.13667589166666647,0,1994,6,0.41,Neutral
1994-07-01,16.282690387096775,-0.4654672677419355,0,1994,7,0.44,Neutral
1994-08-01,17.711204612903224,0.08204686774193555,0,1994,8,0.43,Neutral
1994-09-01,18.05914153333333,0.19902702222222252,0,1994,9,0.55,El Niño
1994-10-01,17.48836306451613,0.0827167709677421,0,1994,10,0.74,El Niño
1994-11-01,15.752225316666665,-0.5481756161111113,0,1994,11,1.01,El Niño
1994-12-01,14.58800656451613,-0.37316487204301074,0,1994,12,1.09,El Niño
1995-01-01,14.193451580645162,-0.008936178494623453,0,1995,1,0.96,El Niño
1995-02-01,14.615296107142857,0.6039856220238095,0,1995,2,0.72,El Niño
1995-03-01,15.137720822580645,1.0872966311827958,22,1995,3,0.53,El Niño
1995-04-01,14.681976466666667,0.42894298000000003,7,1995,4,0.3,Neutral
1995-05-01,14.938292451612902,0.1320964408602149,0,1995,5,0.14,Neutral
1995-06-01,15.267321016666667,-0.27569394166666655,0,1995,6,-0.03,Neutral
1995-07-01,17.230862258064516,0.48270460322580705,0,1995,7,-0.24,Neutral
1995-08-01,17.633915774193547,0.004758029032257918,0,1995,8,-0.54,La Niña
1995-09-01,18.0535663,0.19345178888888873,0,1995,9,-0.81,La Niña
1995-10-01,17.649532935483872,0.24388664193548407,0,1995,10,-0.97,La Niña
1995-11-01,16.617415866666665,0.3170149338888889,0,1995,11,-1.0,La Niña
1995-12-01,15.934019548387097,0.9728481118279568,21,1995,12,-0.98,La Niña
1996-01-01,14.98533577419355,0.7829480150537637,14,1996,1,-0.9,La Niña
1996-02-01,14.965818053571429,0.9545075684523808,18,1996,2,-0.75,La Niña
